,num_sample,problem,seed
621,4,mf_Himmelblau,2
622,6,mf_Himmelblau,2
623,8,mf_Himmelblau,2
624,10,mf_Himmelblau,2
625,12,mf_Himmelblau,2
626,14,mf_Himmelblau,2
627,16,mf_Himmelblau,2
628,18,mf_Himmelblau,2
629,20,mf_Himmelblau,2
630,22,mf_Himmelblau,2
631,24,mf_Himmelblau,2
632,26,mf_Himmelblau,2
633,28,mf_Himmelblau,2
634,30,mf_Himmelblau,2
635,32,mf_Himmelblau,2
636,34,mf_Himmelblau,2
637,36,mf_Himmelblau,2
638,38,mf_Himmelblau,2
639,40,mf_Himmelblau,2
640,2,mf_Himmelblau,3
641,4,mf_Himmelblau,3
642,6,mf_Himmelblau,3
643,8,mf_Himmelblau,3
644,10,mf_Himmelblau,3
645,12,mf_Himmelblau,3
646,14,mf_Himmelblau,3
647,16,mf_Himmelblau,3
648,18,mf_Himmelblau,3
649,20,mf_Himmelblau,3
650,22,mf_Himmelblau,3
651,24,mf_Himmelblau,3
652,26,mf_Himmelblau,3
653,28,mf_Himmelblau,3
654,30,mf_Himmelblau,3
655,32,mf_Himmelblau,3
656,34,mf_Himmelblau,3
657,36,mf_Himmelblau,3
658,38,mf_Himmelblau,3
659,40,mf_Himmelblau,3
660,2,mf_Himmelblau,4
661,4,mf_Himmelblau,4
662,6,mf_Himmelblau,4
663,8,mf_Himmelblau,4
664,10,mf_Himmelblau,4
665,12,mf_Himmelblau,4
666,14,mf_Himmelblau,4
667,16,mf_Himmelblau,4
668,18,mf_Himmelblau,4
669,20,mf_Himmelblau,4
670,22,mf_Himmelblau,4
671,24,mf_Himmelblau,4
672,26,mf_Himmelblau,4
673,28,mf_Himmelblau,4
674,30,mf_Himmelblau,4
675,32,mf_Himmelblau,4
676,34,mf_Himmelblau,4
677,36,mf_Himmelblau,4
678,38,mf_Himmelblau,4
679,40,mf_Himmelblau,4
680,2,mf_Himmelblau,5
681,4,mf_Himmelblau,5
682,6,mf_Himmelblau,5
683,8,mf_Himmelblau,5
684,10,mf_Himmelblau,5
685,12,mf_Himmelblau,5
686,14,mf_Himmelblau,5
687,16,mf_Himmelblau,5
688,18,mf_Himmelblau,5
689,20,mf_Himmelblau,5
690,22,mf_Himmelblau,5
691,24,mf_Himmelblau,5
692,26,mf_Himmelblau,5
693,28,mf_Himmelblau,5
694,30,mf_Himmelblau,5
695,32,mf_Himmelblau,5
696,34,mf_Himmelblau,5
697,36,mf_Himmelblau,5
698,38,mf_Himmelblau,5
699,40,mf_Himmelblau,5
700,2,mf_Park91A,1
701,4,mf_Park91A,1
702,6,mf_Park91A,1
703,8,mf_Park91A,1
704,10,mf_Park91A,1
705,12,mf_Park91A,1
706,14,mf_Park91A,1
707,16,mf_Park91A,1
708,18,mf_Park91A,1
709,20,mf_Park91A,1
710,22,mf_Park91A,1
711,24,mf_Park91A,1
712,26,mf_Park91A,1
713,28,mf_Park91A,1
714,30,mf_Park91A,1
715,32,mf_Park91A,1
716,34,mf_Park91A,1
717,36,mf_Park91A,1
718,38,mf_Park91A,1
719,40,mf_Park91A,1
720,2,mf_Park91A,2
721,4,mf_Park91A,2
722,6,mf_Park91A,2
723,8,mf_Park91A,2
724,10,mf_Park91A,2
725,12,mf_Park91A,2
726,14,mf_Park91A,2
727,16,mf_Park91A,2
728,18,mf_Park91A,2
729,20,mf_Park91A,2
730,22,mf_Park91A,2
731,24,mf_Park91A,2
732,26,mf_Park91A,2
733,28,mf_Park91A,2
734,30,mf_Park91A,2
735,32,mf_Park91A,2
736,34,mf_Park91A,2
737,36,mf_Park91A,2
738,38,mf_Park91A,2
739,40,mf_Park91A,2
740,2,mf_Park91A,3
741,4,mf_Park91A,3
742,6,mf_Park91A,3
743,8,mf_Park91A,3
744,10,mf_Park91A,3
745,12,mf_Park91A,3
746,14,mf_Park91A,3
747,16,mf_Park91A,3
748,18,mf_Park91A,3
749,20,mf_Park91A,3
750,22,mf_Park91A,3
751,24,mf_Park91A,3
752,26,mf_Park91A,3
753,28,mf_Park91A,3
754,30,mf_Park91A,3
755,32,mf_Park91A,3
756,34,mf_Park91A,3
757,36,mf_Park91A,3
758,38,mf_Park91A,3
759,40,mf_Park91A,3
760,2,mf_Park91A,4
761,4,mf_Park91A,4
762,6,mf_Park91A,4
763,8,mf_Park91A,4
764,10,mf_Park91A,4
765,12,mf_Park91A,4
766,14,mf_Park91A,4
767,16,mf_Park91A,4
768,18,mf_Park91A,4
769,20,mf_Park91A,4
770,22,mf_Park91A,4
771,24,mf_Park91A,4
772,26,mf_Park91A,4
773,28,mf_Park91A,4
774,30,mf_Park91A,4
775,32,mf_Park91A,4
776,34,mf_Park91A,4
777,36,mf_Park91A,4
778,38,mf_Park91A,4
779,40,mf_Park91A,4
780,2,mf_Park91A,5
781,4,mf_Park91A,5
782,6,mf_Park91A,5
783,8,mf_Park91A,5
784,10,mf_Park91A,5
785,12,mf_Park91A,5
786,14,mf_Park91A,5
787,16,mf_Park91A,5
788,18,mf_Park91A,5
789,20,mf_Park91A,5
790,22,mf_Park91A,5
791,24,mf_Park91A,5
792,26,mf_Park91A,5
793,28,mf_Park91A,5
794,30,mf_Park91A,5
795,32,mf_Park91A,5
796,34,mf_Park91A,5
797,36,mf_Park91A,5
798,38,mf_Park91A,5
799,40,mf_Park91A,5
800,2,mf_Park91B,1
801,4,mf_Park91B,1
802,6,mf_Park91B,1
803,8,mf_Park91B,1
804,10,mf_Park91B,1
805,12,mf_Park91B,1
806,14,mf_Park91B,1
807,16,mf_Park91B,1
808,18,mf_Park91B,1
809,20,mf_Park91B,1
810,22,mf_Park91B,1
811,24,mf_Park91B,1
812,26,mf_Park91B,1
813,28,mf_Park91B,1
814,30,mf_Park91B,1
815,32,mf_Park91B,1
816,34,mf_Park91B,1
817,36,mf_Park91B,1
818,38,mf_Park91B,1
819,40,mf_Park91B,1
820,2,mf_Park91B,2
821,4,mf_Park91B,2
