,num_sample,problem,seed
412,16,mf_Hartman3,23
413,18,mf_Hartman3,23
414,20,mf_Hartman3,23
415,12,mf_Hartman3,24
416,14,mf_Hartman3,24
417,16,mf_Hartman3,24
418,18,mf_Hartman3,24
419,20,mf_Hartman3,24
420,12,mf_Hartman3,25
421,14,mf_Hartman3,25
422,16,mf_Hartman3,25
423,18,mf_Hartman3,25
424,20,mf_Hartman3,25
425,12,mf_Hartman3,26
426,14,mf_Hartman3,26
427,16,mf_Hartman3,26
428,18,mf_Hartman3,26
429,20,mf_Hartman3,26
430,12,mf_Hartman3,27
431,14,mf_Hartman3,27
432,16,mf_Hartman3,27
433,18,mf_Hartman3,27
434,20,mf_Hartman3,27
435,12,mf_Hartman3,28
436,14,mf_Hartman3,28
437,16,mf_Hartman3,28
438,18,mf_Hartman3,28
439,20,mf_Hartman3,28
440,12,mf_Hartman3,29
441,14,mf_Hartman3,29
442,16,mf_Hartman3,29
443,18,mf_Hartman3,29
444,20,mf_Hartman3,29
445,12,mf_Hartman3,30
446,14,mf_Hartman3,30
447,16,mf_Hartman3,30
448,18,mf_Hartman3,30
449,20,mf_Hartman3,30
450,12,mf_Hartman6,1
451,14,mf_Hartman6,1
452,16,mf_Hartman6,1
453,18,mf_Hartman6,1
454,20,mf_Hartman6,1
455,12,mf_Hartman6,2
456,14,mf_Hartman6,2
457,16,mf_Hartman6,2
458,18,mf_Hartman6,2
459,20,mf_Hartman6,2
460,12,mf_Hartman6,3
461,14,mf_Hartman6,3
462,16,mf_Hartman6,3
463,18,mf_Hartman6,3
464,20,mf_Hartman6,3
465,12,mf_Hartman6,4
466,14,mf_Hartman6,4
467,16,mf_Hartman6,4
468,18,mf_Hartman6,4
469,20,mf_Hartman6,4
470,12,mf_Hartman6,5
471,14,mf_Hartman6,5
472,16,mf_Hartman6,5
473,18,mf_Hartman6,5
474,20,mf_Hartman6,5
475,12,mf_Hartman6,6
476,14,mf_Hartman6,6
477,16,mf_Hartman6,6
478,18,mf_Hartman6,6
479,20,mf_Hartman6,6
480,12,mf_Hartman6,7
481,14,mf_Hartman6,7
482,16,mf_Hartman6,7
483,18,mf_Hartman6,7
484,20,mf_Hartman6,7
485,12,mf_Hartman6,8
486,14,mf_Hartman6,8
487,16,mf_Hartman6,8
488,18,mf_Hartman6,8
489,20,mf_Hartman6,8
490,12,mf_Hartman6,9
491,14,mf_Hartman6,9
492,16,mf_Hartman6,9
493,18,mf_Hartman6,9
494,20,mf_Hartman6,9
495,12,mf_Hartman6,10
496,14,mf_Hartman6,10
497,16,mf_Hartman6,10
498,18,mf_Hartman6,10
499,20,mf_Hartman6,10
500,12,mf_Hartman6,11
501,14,mf_Hartman6,11
502,16,mf_Hartman6,11
503,18,mf_Hartman6,11
504,20,mf_Hartman6,11
505,12,mf_Hartman6,12
506,14,mf_Hartman6,12
507,16,mf_Hartman6,12
508,18,mf_Hartman6,12
509,20,mf_Hartman6,12
510,12,mf_Hartman6,13
511,14,mf_Hartman6,13
512,16,mf_Hartman6,13
513,18,mf_Hartman6,13
514,20,mf_Hartman6,13
515,12,mf_Hartman6,14
516,14,mf_Hartman6,14
517,16,mf_Hartman6,14
518,18,mf_Hartman6,14
519,20,mf_Hartman6,14
520,12,mf_Hartman6,15
521,14,mf_Hartman6,15
522,16,mf_Hartman6,15
523,18,mf_Hartman6,15
524,20,mf_Hartman6,15
525,12,mf_Hartman6,16
526,14,mf_Hartman6,16
527,16,mf_Hartman6,16
528,18,mf_Hartman6,16
529,20,mf_Hartman6,16
530,12,mf_Hartman6,17
531,14,mf_Hartman6,17
532,16,mf_Hartman6,17
533,18,mf_Hartman6,17
534,20,mf_Hartman6,17
535,12,mf_Hartman6,18
536,14,mf_Hartman6,18
537,16,mf_Hartman6,18
538,18,mf_Hartman6,18
539,20,mf_Hartman6,18
540,12,mf_Hartman6,19
541,14,mf_Hartman6,19
542,16,mf_Hartman6,19
543,18,mf_Hartman6,19
544,20,mf_Hartman6,19
545,12,mf_Hartman6,20
546,14,mf_Hartman6,20
547,16,mf_Hartman6,20
548,18,mf_Hartman6,20
549,20,mf_Hartman6,20
550,12,mf_Hartman6,21
551,14,mf_Hartman6,21
552,16,mf_Hartman6,21
553,18,mf_Hartman6,21
554,20,mf_Hartman6,21
555,12,mf_Hartman6,22
556,14,mf_Hartman6,22
557,16,mf_Hartman6,22
558,18,mf_Hartman6,22
559,20,mf_Hartman6,22
560,12,mf_Hartman6,23
561,14,mf_Hartman6,23
562,16,mf_Hartman6,23
563,18,mf_Hartman6,23
564,20,mf_Hartman6,23
565,12,mf_Hartman6,24
566,14,mf_Hartman6,24
567,16,mf_Hartman6,24
568,18,mf_Hartman6,24
569,20,mf_Hartman6,24
570,12,mf_Hartman6,25
571,14,mf_Hartman6,25
572,16,mf_Hartman6,25
573,18,mf_Hartman6,25
574,20,mf_Hartman6,25
575,12,mf_Hartman6,26
576,14,mf_Hartman6,26
577,16,mf_Hartman6,26
