,method,noise_std,num_hf,num_lf,problem,seed
406,scaled_kriging,0.3,20,75,mf_Bohachevsky,4
407,scaled_kriging,0.5,20,75,mf_Bohachevsky,4
408,scaled_kriging,0.1,25,75,mf_Bohachevsky,4
409,scaled_kriging,0.3,25,75,mf_Bohachevsky,4
410,scaled_kriging,0.5,25,75,mf_Bohachevsky,4
411,scaled_kriging,0.1,30,75,mf_Bohachevsky,4
412,scaled_kriging,0.3,30,75,mf_Bohachevsky,4
413,scaled_kriging,0.5,30,75,mf_Bohachevsky,4
414,scaled_kriging,0.1,5,100,mf_Bohachevsky,4
415,scaled_kriging,0.3,5,100,mf_Bohachevsky,4
416,scaled_kriging,0.5,5,100,mf_Bohachevsky,4
417,scaled_kriging,0.1,10,100,mf_Bohachevsky,4
418,scaled_kriging,0.3,10,100,mf_Bohachevsky,4
419,scaled_kriging,0.5,10,100,mf_Bohachevsky,4
420,scaled_kriging,0.1,15,100,mf_Bohachevsky,4
421,scaled_kriging,0.3,15,100,mf_Bohachevsky,4
422,scaled_kriging,0.5,15,100,mf_Bohachevsky,4
423,scaled_kriging,0.1,20,100,mf_Bohachevsky,4
424,scaled_kriging,0.3,20,100,mf_Bohachevsky,4
425,scaled_kriging,0.5,20,100,mf_Bohachevsky,4
426,scaled_kriging,0.1,25,100,mf_Bohachevsky,4
427,scaled_kriging,0.3,25,100,mf_Bohachevsky,4
428,scaled_kriging,0.5,25,100,mf_Bohachevsky,4
429,scaled_kriging,0.1,30,100,mf_Bohachevsky,4
430,scaled_kriging,0.3,30,100,mf_Bohachevsky,4
431,scaled_kriging,0.5,30,100,mf_Bohachevsky,4
432,scaled_kriging,0.1,5,125,mf_Bohachevsky,4
433,scaled_kriging,0.3,5,125,mf_Bohachevsky,4
434,scaled_kriging,0.5,5,125,mf_Bohachevsky,4
435,scaled_kriging,0.1,10,125,mf_Bohachevsky,4
436,scaled_kriging,0.3,10,125,mf_Bohachevsky,4
437,scaled_kriging,0.5,10,125,mf_Bohachevsky,4
438,scaled_kriging,0.1,15,125,mf_Bohachevsky,4
439,scaled_kriging,0.3,15,125,mf_Bohachevsky,4
440,scaled_kriging,0.5,15,125,mf_Bohachevsky,4
441,scaled_kriging,0.1,20,125,mf_Bohachevsky,4
442,scaled_kriging,0.3,20,125,mf_Bohachevsky,4
443,scaled_kriging,0.5,20,125,mf_Bohachevsky,4
444,scaled_kriging,0.1,25,125,mf_Bohachevsky,4
445,scaled_kriging,0.3,25,125,mf_Bohachevsky,4
446,scaled_kriging,0.5,25,125,mf_Bohachevsky,4
447,scaled_kriging,0.1,30,125,mf_Bohachevsky,4
